"library_id","type","caste"
"Australia_M","clonal","male"
"Australia_Q","clonal","queen"
"calao1","clonal","queen"
"cbg","clonal","queen"
"FG1-1-2S_Q","sexual","queen"
"FG1-3S_Q","sexual","queen"
"FG24-2C_Q","clonal","queen"
"FG24-3C_Q","clonal","queen"
"FG3-2S_Q","sexual","queen"
"FG3-2S_Sperm","sexual","male"
"FG3-4-2S_Q","sexual","queen"
"FG3-6S_Q","sexual","queen"
"FG3-7C_Q","clonal","queen"
"FG4-10_Q","sexual","queen"
"FG4-2_Q","sexual","queen"
"FG4-4S_Q","sexual","queen"
"FG4-6S_Sperm","sexual","male"
"FG4-6_Q","sexual","queen"
"FG4new_Q","sexual","queen"
"FG5-1C_Q","clonal","queen"
"FG5-1C_Sperm","clonal","male"
"FG7C_Q","clonal","queen"
"FG7C_Sperm","clonal","male"
"gabon_male","clonal","male"
"hawaii_queen","clonal","queen"
"nc_male","clonal","male"
"noe","clonal","queen"
"pou4","clonal","queen"
"SolomonC_Q","clonal","queen"
