ogg,gene_id,orthodb_id,scaffolds,level_code,level
EOG091C0F2L,LOC105462376,23039820,NW_012097943.1:893-3025,7434,Aculeata
EOG091C0JQP,LOC105462369,23039821,NW_012097938.1:1573-42806,7434,Aculeata
EOG091C0AUY,LOC105462371,23039822,NW_012097938.1:46583-50080,7434,Aculeata
EOG091C0953,LOC105462373,23039825,NW_012097940.1:5612-14656,7434,Aculeata
EOG091C0EJA,LOC105462374,23039826,NW_012097940.1:24109-29591,7434,Aculeata
EOG091C0H40,LOC105462375,23039827,NW_012097940.1:29668-31666,7434,Aculeata
EOG091C0GA9,LOC105462368,23039830,NW_012097929.1:1-1868,7434,Aculeata
EOG091C0ALJ,LOC105461212,23039832,NW_012097938.1:50278-52534,7434,Aculeata
EOG091C005A,LOC105462377,23039833,NW_012097950.1:726-9931,7434,Aculeata
EOG091C0B4L,LOC105453223,23039837,NW_012097924.1:7-468,7434,Aculeata
EOG091C04LJ,LOC105449740,23039838,NW_012097925.1:366-1342,7434,Aculeata
EOG091C01F6,LOC105457051,23039840,NW_012097878.1:7-668,7434,Aculeata
EOG091C012V,LOC105455422,23039846,NW_012097895.1:57-374,7434,Aculeata
EOG091C08RH,LOC105462736,23039850,NW_012097864.1:115-589,7434,Aculeata
EOG091C00C6,LOC105452316,23039854,NW_012097823.1:19-424,7434,Aculeata
EOG091C05TH,LOC105452314,23039856,NW_012097822.1:243-1000,7434,Aculeata
EOG090X0GFS,LOC105462949,23039862,NW_012097696.1:22-1649,6656,Arthropoda
EOG091C0D5Q,LOC105457615,23039866,NW_012097624.1:98-1301,7434,Aculeata
EOG091B03PA,LOC105450951,23039868,NW_012097703.1:9-612,7399,Hymenoptera
EOG091B0DR4,LOC105459748,23039872,NW_012097582.1:51-664,7399,Hymenoptera
EOG091C03TC,LOC105462363,23039873,NW_012097741.1:146-850,7434,Aculeata
EOG091C054O,LOC105462358,23039874,NW_012097671.1:4-980,7434,Aculeata
EOG091C0JM3,LOC105462361,23039875,NW_012097699.1:70-1168,7434,Aculeata
EOG091C04TU,LOC105459291,23039879,NW_012097549.1:276-1068,7434,Aculeata
EOG091C01FB,LOC105455797,23039881,NW_012097613.1:8-525,7434,Aculeata
EOG090X0DUD,LOC105457616,23039882,NW_012097623.1:4-507,6656,Arthropoda
EOG091G0FQT,LOC105448619,23039894,NW_012097859.1:776-1251,33208,Metazoa
EOG091C0J5C,LOC105462360,23039918,NW_012097684.1:32-1092,7434,Aculeata
EOG091C05X0,LOC105454229,23039920,NW_012097545.1:50-617,7434,Aculeata
EOG091C05GC,LOC105462359,23039924,NW_012097682.1:40-730,7434,Aculeata
EOG091C00H0,LOC105452437,23039928,NW_012097484.1:18-1121,7434,Aculeata
EOG091C08RB,LOC105462331,23039929,NW_012097225.1:7-624,7434,Aculeata
EOG091C070U,LOC105462338,23039931,NW_012097394.1:939-4067,7434,Aculeata
EOG091C05J8,LOC105462341,23039937,NW_012097421.1:98-1404,7434,Aculeata
EOG091C05J8,LOC105458684,23039938,NW_012097416.1:27-827,7434,Aculeata
EOG091C0B1X,LOC105454228,23039939,NW_012097536.1:7-425,7434,Aculeata
EOG091B0ITM,LOC105462336,23039940,NW_012097376.1:7-510,7399,Hymenoptera
EOG091C04V5,LOC105449532,23039943,NW_012097310.1:7-453,7434,Aculeata
EOG091C03JT,LOC105455954,23039954,NW_012097610.1:169-775,7434,Aculeata
EOG091C02SP,LOC105453301,23039955,NW_012097599.1:187-551,7434,Aculeata
EOG090X03ZF,LOC105457799,23039957,NW_012097589.1:89-574,6656,Arthropoda
EOG091C0PYC,LOC105462324,23039958,NW_012097005.1:414-4750,7434,Aculeata
EOG091C07MZ,LOC105455600,23039960,NW_012096958.1:144-1326,7434,Aculeata
